Date,Open,High,Low,Close,Adj Close,Volume
2018-08-13,296.899994,298.700012,294.899994,296.700012,279.776276,572052
2018-08-14,299.100006,300.000000,294.899994,296.500000,279.587677,350106
2018-08-15,296.000000,297.399994,293.799988,294.799988,277.984619,306225
2018-08-16,296.000000,297.799988,295.700012,296.700012,279.776276,414659
2018-08-17,298.299988,298.299988,293.799988,295.500000,278.644714,331706
2018-08-20,296.799988,297.399994,294.600006,295.799988,278.927582,271466
2018-08-21,295.200012,297.600006,294.200012,296.899994,279.964844,276731
2018-08-22,296.899994,298.799988,296.100006,297.200012,280.247742,393945
2018-08-23,297.399994,298.500000,296.000000,297.899994,280.907806,324390
2018-08-24,297.299988,298.600006,296.299988,297.799988,280.813507,204017
2018-08-27,299.799988,300.000000,298.200012,299.799988,282.699432,223462
2018-08-28,300.500000,300.500000,297.500000,298.399994,281.379272,426291
2018-08-29,298.899994,299.700012,297.299988,299.100006,282.039368,262408
2018-08-30,298.899994,299.200012,296.200012,297.500000,280.530640,279902
2018-08-31,297.200012,297.799988,295.000000,295.200012,278.361816,334030
2018-09-03,296.000000,297.799988,295.799988,297.200012,280.247742,224865
2018-09-04,298.000000,298.600006,293.399994,295.600006,278.739014,303921
2018-09-05,294.799988,297.600006,294.100006,296.100006,279.210480,345191
2018-09-06,295.299988,298.600006,294.200012,296.799988,279.870544,384523
2018-09-07,296.500000,297.799988,295.399994,297.000000,280.059143,412503
2018-09-10,297.600006,301.700012,296.899994,301.399994,284.208160,476429
2018-09-11,300.000000,300.700012,297.200012,299.100006,282.039368,518339
2018-09-12,299.000000,300.600006,297.899994,299.299988,282.227936,295028
2018-09-13,299.700012,300.700012,298.799988,299.100006,282.039368,324412
2018-09-14,299.399994,300.299988,297.899994,298.899994,281.850769,285504
2018-09-17,298.100006,299.799988,297.799988,299.200012,282.133667,253055
2018-09-18,298.600006,299.600006,297.799988,299.500000,282.416534,404365
2018-09-19,300.000000,303.600006,299.700012,302.100006,284.868256,543159
2018-09-20,302.899994,306.700012,302.899994,305.899994,288.451477,503114
2018-09-21,307.899994,309.100006,307.299988,307.399994,289.865936,1022661
2018-09-24,307.299988,309.200012,306.899994,307.200012,289.677338,338101
2018-09-25,307.799988,310.899994,307.500000,310.000000,292.317627,373348
2018-09-26,309.299988,312.000000,309.200012,311.700012,293.920654,327307
2018-09-27,310.000000,312.799988,308.799988,312.100006,294.297852,334868
2018-09-28,310.700012,311.899994,306.399994,310.200012,292.506226,502831
2018-10-01,310.100006,313.100006,310.100006,311.100006,293.354889,347415
2018-10-02,310.000000,310.100006,307.100006,308.100006,290.526001,539615
2018-10-03,309.000000,310.899994,308.700012,309.100006,291.468964,336101
2018-10-04,308.899994,313.399994,308.799988,311.600006,293.826355,422160
2018-10-05,311.799988,313.500000,310.299988,311.600006,293.826355,500703
2018-10-08,310.399994,311.399994,309.299988,309.399994,291.751831,294996
2018-10-09,310.399994,314.000000,309.100006,314.000000,296.089478,579083
2018-10-10,314.100006,317.299988,312.899994,313.000000,295.146515,654743
2018-10-11,308.399994,309.600006,301.200012,301.200012,284.019592,1076726
2018-10-12,305.399994,306.100006,302.399994,302.399994,285.151123,597880
2018-10-15,302.000000,303.399994,300.700012,302.100006,284.868256,344324
2018-10-16,302.799988,304.700012,300.399994,303.500000,286.188385,450102
2018-10-17,304.600006,306.200012,302.399994,303.899994,286.565552,448699
2018-10-18,304.299988,306.200012,303.299988,304.100006,286.754181,362328
2018-10-19,303.000000,307.700012,303.000000,307.399994,289.865936,604823
2018-10-22,309.000000,310.399994,307.299988,307.799988,290.243103,372930
2018-10-23,304.100006,304.200012,299.500000,300.799988,283.642395,723600
2018-10-24,301.200012,305.200012,299.799988,299.799988,282.699432,405404
2018-10-25,298.100006,303.899994,297.200012,301.399994,284.208160,548849
2018-10-26,299.000000,299.299988,295.500000,297.899994,280.907806,573264
2018-10-29,299.600006,307.000000,299.299988,305.200012,287.791443,453650
2018-10-30,306.899994,308.399994,304.799988,307.799988,290.243103,511451
2018-10-31,310.000000,313.200012,309.299988,313.200012,295.335114,596604
2018-11-01,312.200012,314.899994,310.399994,312.500000,294.675018,406335
2018-11-02,315.000000,315.299988,310.600006,311.700012,293.920654,369506
2018-11-05,311.000000,313.000000,310.100006,311.299988,293.543457,244521
2018-11-06,312.700012,312.799988,308.200012,310.600006,292.883423,270106
2018-11-07,311.799988,314.100006,310.700012,313.299988,295.429382,336381
2018-11-08,314.500000,316.399994,313.299988,313.799988,295.900848,417404
2018-11-09,313.700012,315.000000,312.200012,314.399994,296.466644,281036
2018-11-12,315.500000,315.799988,311.299988,311.600006,293.826355,288191
2018-11-13,311.899994,314.000000,310.700012,313.100006,295.240814,401628
2018-11-14,311.299988,313.799988,309.000000,312.299988,294.486420,428640
2018-11-15,312.799988,314.600006,307.200012,309.700012,292.034760,466429
2018-11-16,312.600006,314.000000,308.299988,309.399994,291.751831,761806
2018-11-19,309.500000,311.799988,305.200012,305.200012,287.791443,474555
2018-11-20,305.200012,306.000000,301.100006,302.000000,284.773956,431631
2018-11-21,303.600006,307.100006,303.200012,306.799988,289.300140,456195
2018-11-22,306.500000,307.100006,304.200012,304.200012,286.848480,296149
2018-11-23,303.600006,306.100006,303.600006,305.899994,288.451477,233847
2018-11-26,308.000000,312.899994,308.000000,310.899994,293.166290,465014
2018-11-27,311.100006,312.600006,310.200012,311.399994,293.637756,315299
2018-11-28,312.899994,314.299988,310.700012,310.799988,293.071991,405005
2018-11-29,311.600006,314.200012,311.600006,313.600006,295.712280,353144
2018-11-30,313.799988,314.700012,310.700012,313.500000,295.617981,755667
2018-12-03,317.000000,318.399994,314.399994,315.299988,297.315308,452293
2018-12-04,314.500000,316.000000,313.500000,313.600006,295.712280,352997
2018-12-05,312.600006,312.799988,307.299988,307.600006,290.054535,491892
2018-12-06,305.000000,305.600006,297.100006,297.200012,280.247742,976501
2018-12-07,300.000000,303.100006,299.700012,300.100006,282.982330,600435
2018-12-10,298.000000,299.200012,294.500000,294.500000,277.701752,511332
2018-12-11,297.000000,298.399994,293.600006,295.899994,279.021881,741798
2018-12-12,297.299988,300.500000,296.200012,300.000000,282.888031,477561
2018-12-13,300.200012,302.100006,299.000000,300.500000,283.359497,414971
2018-12-14,299.500000,300.000000,295.899994,297.600006,280.624939,398251
2018-12-17,297.399994,297.399994,291.399994,291.399994,274.778564,625855
2018-12-18,291.000000,292.799988,290.100006,290.600006,274.024200,681918
2018-12-19,291.000000,293.799988,289.200012,292.899994,276.192993,665328
2018-12-20,289.000000,292.200012,288.100006,290.100006,273.552734,451817
2018-12-21,290.000000,293.000000,287.700012,289.000000,272.515472,1577047
2018-12-27,293.200012,294.700012,282.399994,284.100006,267.894958,653211
2018-12-28,286.100006,293.500000,286.100006,293.100006,276.381592,501537
2019-01-03,293.100006,295.100006,291.700012,293.000000,276.287292,510265
2019-01-04,294.000000,297.500000,291.799988,297.200012,280.247742,436086
2019-01-07,298.700012,298.700012,293.600006,294.700012,277.890350,423447
2019-01-08,296.299988,300.200012,295.299988,298.200012,281.190704,467532
2019-01-09,300.799988,300.899994,297.299988,299.200012,282.133667,391387
2019-01-10,298.299988,304.600006,297.799988,303.600006,286.282684,427516
2019-01-11,304.500000,306.799988,303.500000,304.500000,287.131348,391594
2019-01-14,303.399994,304.000000,301.000000,303.899994,286.565552,475485
2019-01-15,306.000000,306.299988,302.299988,303.500000,286.188385,374708
2019-01-16,303.500000,306.700012,303.500000,306.100006,288.640076,450923
2019-01-17,304.200012,308.399994,304.200012,307.899994,290.337402,513588
2019-01-18,310.299988,314.500000,310.200012,314.200012,296.278076,753070
2019-01-21,314.000000,315.200012,312.600006,314.799988,296.843811,425623
2019-01-22,313.700012,315.799988,312.700012,312.700012,294.863617,486287
2019-01-23,311.399994,313.899994,307.100006,311.399994,293.637756,434003
2019-01-24,311.299988,314.600006,311.299988,313.799988,295.900848,409536
2019-01-25,314.799988,315.600006,312.799988,313.100006,295.240814,304961
2019-01-28,312.000000,313.299988,311.000000,311.200012,293.449188,332214
2019-01-29,311.000000,314.600006,311.000000,312.600006,294.769318,423255
2019-01-30,313.899994,314.200012,311.500000,312.799988,294.957916,296361
2019-01-31,314.000000,314.899994,310.799988,311.700012,293.920654,486039
2019-02-01,313.000000,314.200012,311.399994,313.600006,295.712280,311014
2019-02-04,314.100006,315.200012,312.799988,314.000000,296.089478,325345
2019-02-05,314.600006,315.700012,313.799988,315.399994,297.409607,454402
2019-02-06,315.799988,316.299988,314.500000,314.899994,296.938110,473618
2019-02-07,317.500000,317.899994,312.100006,316.700012,298.635468,657227
2019-02-08,316.200012,316.899994,315.200012,316.000000,297.975372,334200
2019-02-11,317.000000,319.700012,317.000000,317.799988,299.672699,631540
2019-02-12,318.399994,320.000000,317.600006,319.600006,301.370056,493987
2019-02-13,320.000000,320.000000,318.200012,320.000000,301.747223,361088
2019-02-14,320.000000,320.700012,317.799988,317.799988,299.672699,561253
2019-02-15,318.200012,322.500000,316.100006,322.100006,303.727448,841437
2019-02-18,322.299988,323.100006,320.799988,320.899994,302.595886,523311
2019-02-19,320.399994,323.299988,320.000000,322.600006,304.198914,417443
2019-02-20,323.000000,325.000000,322.700012,324.100006,305.613373,452649
2019-02-21,325.000000,326.799988,324.399994,325.399994,306.839203,1862980
2019-02-22,325.799988,326.799988,325.500000,326.299988,307.687866,353912
2019-02-25,327.000000,329.299988,326.700012,328.600006,309.856689,388302
2019-02-26,326.799988,330.000000,326.500000,330.000000,311.176819,413564
2019-02-27,328.899994,329.600006,328.000000,328.899994,310.139557,334232
2019-02-28,328.000000,330.000000,326.799988,330.000000,311.176819,453530
2019-03-01,330.799988,331.200012,329.100006,329.200012,310.422485,348228
2019-03-04,330.899994,331.000000,329.100006,329.600006,310.799652,342582
2019-03-05,330.000000,330.200012,327.700012,328.899994,310.139557,385322
2019-03-06,328.799988,329.899994,328.000000,329.899994,311.082520,476190
2019-03-07,329.299988,330.000000,324.899994,326.399994,307.782166,593131
2019-03-08,325.000000,326.000000,323.100006,325.799988,307.216370,404710
2019-03-11,326.799988,327.500000,325.500000,327.500000,308.819427,225566
2019-03-12,328.200012,328.700012,325.700012,326.700012,308.065063,237735
2019-03-13,326.899994,330.000000,326.600006,329.899994,311.082520,610577
2019-03-14,330.000000,332.600006,329.799988,332.500000,313.534241,577257
2019-03-15,334.600006,337.299988,334.100006,336.299988,317.117462,874856
2019-03-18,337.000000,339.399994,337.000000,338.299988,319.003387,301782
2019-03-19,339.299988,341.299988,338.500000,339.200012,319.852081,550391
2019-03-20,338.000000,338.200012,333.200012,333.799988,314.760071,342463
2019-03-21,332.000000,333.100006,326.799988,332.899994,313.911407,653167
2019-03-22,334.000000,334.399994,328.500000,328.799988,310.045258,349336
2019-03-25,327.500000,329.399994,327.299988,328.299988,309.573792,492444
2019-03-26,328.700012,331.600006,327.500000,329.200012,310.422485,346459
2019-03-27,330.000000,330.899994,327.200012,329.000000,310.233856,446855
2019-03-28,329.299988,330.600006,328.299988,328.700012,309.950989,372103
2019-03-29,329.500000,330.200012,328.500000,330.000000,311.176819,335841
2019-04-01,331.000000,333.500000,330.299988,332.200012,313.251343,587063
2019-04-02,332.000000,333.799988,331.100006,332.799988,313.817108,724594
2019-04-03,333.600006,335.000000,330.700012,335.000000,315.891632,843532
2019-04-04,335.000000,335.000000,332.399994,333.100006,314.100006,794931
2019-04-05,316.899994,319.899994,315.500000,318.500000,318.500000,1578769
2019-04-08,319.000000,319.100006,316.000000,316.000000,316.000000,1170183
2019-04-09,315.100006,319.299988,315.100006,315.700012,315.700012,522195
2019-04-10,316.500000,316.700012,314.899994,314.899994,314.899994,510682
2019-04-11,315.399994,317.200012,314.200012,316.799988,316.799988,480601
2019-04-12,317.399994,317.799988,315.000000,317.100006,317.100006,1008753
2019-04-15,318.100006,320.700012,317.899994,320.600006,320.600006,609913
2019-04-16,319.700012,325.000000,319.700012,325.000000,325.000000,844758
2019-04-17,323.500000,327.799988,323.500000,326.700012,326.700012,953181
2019-04-18,328.100006,328.200012,324.799988,328.200012,328.200012,790327
2019-04-23,327.899994,328.200012,325.399994,326.500000,326.500000,406789
2019-04-24,325.500000,326.399994,323.500000,323.600006,323.600006,448611
2019-04-25,323.399994,325.700012,322.600006,325.299988,325.299988,365130
2019-04-26,326.299988,326.399994,323.100006,325.600006,325.600006,295164
2019-04-29,325.600006,325.700012,323.299988,324.500000,324.500000,287378
2019-04-30,324.899994,325.899994,324.200012,324.899994,324.899994,392030
2019-05-01,324.899994,324.899994,324.899994,324.899994,324.899994,0
2019-05-02,324.000000,324.399994,321.299988,322.799988,322.799988,434096
2019-05-03,324.000000,324.799988,322.000000,324.200012,324.200012,349642
2019-05-06,321.500000,322.399994,317.899994,320.399994,320.399994,372447
2019-05-07,320.000000,321.399994,317.100006,318.100006,318.100006,434110
2019-05-08,318.399994,320.200012,316.200012,319.100006,319.100006,473654
2019-05-09,319.000000,319.000000,313.299988,313.799988,313.799988,553225
2019-05-10,314.500000,317.899994,314.500000,316.500000,316.500000,473212
2019-05-13,316.500000,317.299988,313.299988,314.000000,314.000000,495693
2019-05-14,315.100006,316.100006,314.000000,316.000000,316.000000,382341
2019-05-15,318.500000,321.100006,316.399994,321.100006,321.100006,534201
2019-05-16,321.100006,328.399994,319.700012,328.399994,328.399994,571132
2019-05-17,327.899994,327.899994,324.700012,326.100006,326.100006,501646
2019-05-20,325.500000,329.000000,323.899994,326.000000,326.000000,472361
2019-05-21,326.500000,328.500000,325.899994,327.899994,327.899994,385520
2019-05-22,327.000000,328.100006,325.100006,328.100006,328.100006,391137
2019-05-23,326.399994,327.299988,323.500000,324.600006,324.600006,962174
2019-05-24,325.399994,329.299988,325.399994,329.200012,329.200012,399741
2019-05-27,329.500000,331.700012,328.399994,330.700012,330.700012,321419
2019-05-28,330.700012,331.200012,328.500000,331.100006,331.100006,546606
2019-05-29,329.600006,329.799988,325.200012,325.600006,325.600006,486829
2019-05-30,325.600006,325.600006,325.600006,325.600006,325.600006,0
2019-05-31,324.299988,325.799988,322.500000,324.799988,324.799988,392939
2019-06-03,322.299988,326.500000,321.600006,325.500000,325.500000,423863
2019-06-04,324.899994,328.700012,324.000000,328.000000,328.000000,485870
2019-06-05,328.500000,330.299988,327.799988,329.000000,329.000000,593573
2019-06-06,330.000000,333.500000,329.299988,331.700012,331.700012,579394
2019-06-07,332.200012,334.600006,332.100006,334.100006,334.100006,435991
2019-06-10,334.100006,334.100006,334.100006,334.100006,334.100006,0
2019-06-11,335.000000,337.799988,334.799988,336.299988,336.299988,507792
2019-06-12,335.600006,337.200012,334.899994,337.200012,337.200012,325526
2019-06-13,336.500000,338.000000,335.700012,336.899994,336.899994,368308
